function                                                                                                                                                              #calls  time     memory  time     memory
call_user_func_array:{/Library/WebServer/Documents/php-master/extensions/WikidataBuild/extensions/Wikibase/lib/includes/store/EntityRedirectResolvingDecorator.php:79}   302  1.9824  7353024  0.0117    77312
sha1                                                                                                                                                                    1177  0.0291    75344  0.0291    75344
DatabaseMysqlBase->isQuotedIdentifier                                                                                                                                   1564  0.0926    75120  0.0568    75120
SiteList->getObjectType                                                                                                                                                  916  0.0251    73280  0.0251    73280
PPNode_DOM->__construct                                                                                                                                                 1520  0.0431    72960  0.0431    72960
Wikibase\TemplateRegistry::singleton                                                                                                                                    1499  0.0451    72288  0.0451    72288
Wikibase\Lib\Store\CachingEntityRevisionLookup->getCacheKey                                                                                                              757  0.0502    69640  0.0287    69640
Wikibase\DataModel\Entity\PropertyId->getNumericId                                                                                                                      4303  0.2567   206568  0.1567    68872
Wikibase\Repo\WikibaseRepo->getContentModelMappings                                                                                                                      130  0.0316    74904  0.0054    68664
Wikibase\DataModel\Deserializers\SnakListDeserializer->getDeserialized                                                                                                    60  0.5447   359136  0.0055    68280
DatabaseMysqli->lastErrno                                                                                                                                               1409  0.0403    67632  0.0403    67632
DatabaseMysqli->mysqlFetchObject                                                                                                                                        1408  0.0953  1778416  0.0513    67584
Wikibase\DataModel\Deserializers\SnakDeserializer->requireAttribute                                                                                                     1386  0.0861    66528  0.0519    66528
PPDPart->__construct                                                                                                                                                     865  0.0247    65120  0.0247    65120
DatabaseBase->limitResult                                                                                                                                                291  0.0258    64168  0.0129    64168
compact                                                                                                                                                                   27  0.0007    63920  0.0007    63920
Language->getNsText                                                                                                                                                      769  0.0732    61520  0.0283    61520
MediaWikiTitleCodec->splitTitleString                                                                                                                                     45  0.0612   258672  0.0091    60928
urlencode                                                                                                                                                               1635  0.0373    60288  0.0373    60288
Wikibase\Repo\Content\ItemHandler->getEntityType                                                                                                                         753  0.0214    60240  0.0214    60240
Language::getFallbacksFor                                                                                                                                                298  0.1435   368464  0.0091    58848
Wikibase\DataModel\Statement\StatementList->addStatements                                                                                                                  4  0.0012    58496  0.0004    58304
glob                                                                                                                                                                       1  0.0011    58184  0.0011    58184
MessageCache->load                                                                                                                                                      1201  0.0743    59416  0.0443    57800
User->isItemLoaded                                                                                                                                                      1182  0.0334    56736  0.0334    56736
ProfileSection->__destruct                                                                                                                                              1166  0.0326    55968  0.0326    55968
ProfileSection->__construct                                                                                                                                             1166  0.0352    55968  0.0352    55968
wfWikimediaMessagesMessageCacheGet                                                                                                                                      1162  0.0675    55776  0.0399    55776
